legacy_task_id,artifact_type,file_path,short_description,related_R1_tasks,reuse_priority,caveat,evidence_source
task20,pkl,results/legacy_L0/by_date/task20_bitmask_swap_result.pkl,Swap attack raw data,R1_T03,Medium,Different baseline accuracy,File in by_date directory
task21,log,results/legacy_L0/by_task/task21_position_compare_log.txt,Position vs weight MSB compare,R1_T01;R1_T02,Medium,Shows similar effectiveness,Log comparison table
task21,pkl,results/legacy_L0/by_task/task21_position_ncsa_result.pkl,NCSA position attack data,R1_T01,Low,Different encoding,File in by_task directory
task22,log,results/legacy_L0/by_task/task22_dense_weight_msb_log.txt,Dense weight MSB attack,R1_T07,Medium,Dense model baseline,Log shows MSB pattern
task28,log,results/legacy_L0/by_task/task28_closed_loop_sanity_log.txt,Checkpoint compatibility sanity check,All R1,High,Critical for R1 checkpoint source,Log verifies baseline
task28,log,results/legacy_L0/by_task/task28_sparsity_baseline_audit_log.txt,Sparsity structure audit,All R1,High,Verifies 2:4 structure,Log shows density 50.08%
task28,ckpt,results/legacy_L0/by_task/task28_sparse_mask_fixed_finetune_int8_ckpt.pth,R1 checkpoint source,All R1,High,Directly used by R1,File name indicates usage
task28,csv,results/legacy_L0/by_task/task28_closed_loop_sanity_table.csv,Sanity check summary table,All R1,Medium,Summary format,File in by_task directory
task28,png,results/legacy_L0/by_date/task28_closed_loop_sanity_curves.png,Sanity check curves,All R1,Medium,Visual comparison,File in by_date directory
debug_task1xx,md,results/legacy_L0/debug_task1xx/final_root_cause_report.md,Critical bug: quantized=False fix,All R1,High,MUST call calibrate_all_layers(),Report documents fix
debug_task1xx,md,results/legacy_L0/debug_task1xx/code_path_audit.md,Sparse_mask code path audit,All R1,High,Verifies metadata usage,Audit report
debug_task1xx,txt,results/legacy_L0/debug_task1xx/sanity_one_step_log.txt,One-step sanity test result,All R1,High,Shows fix effectiveness,Log shows loss delta
debug_task1xx,json,results/legacy_L0/debug_task1xx/sanity_one_step_result.json,One-step test JSON result,All R1,Medium,Machine-readable result,File in debug directory
task13,log,results/legacy_L0/by_task/task13_calib_sweep_log.txt,Calibration sample sweep,All R1,Medium,Shows calib sensitivity,Log varies calib_samples
task13,csv,results/legacy_L0/by_task/task13_calib_sweep_table.csv,Calib sweep summary table,All R1,Low,Summary format,File in by_task directory
task14,log,results/legacy_L0/by_task/task14_layer_trace_log.txt,Layer-wise impact analysis,All R1,Medium,Shows layer vulnerability,Log traces per layer
task14,pkl,results/legacy_L0/by_task/task14_layer_trace.pkl,Layer trace raw data,R1_T01,Low,Needs parsing,File in by_task directory
task17,log,results/legacy_L0/by_task/task17_seed_robustness_log.txt,Seed robustness analysis,All R1,Medium,Shows variance across seeds,Log uses multiple seeds
task17,csv,results/legacy_L0/by_task/task17_seed_robustness_table.csv,Seed robustness table,All R1,Low,Summary format,File in by_task directory
by_date,png,results/legacy_L0/by_date/task1_3_sparse_dense_comparison.png,Task1-3 comparison plot,R1_T06;R1_T07,Medium,Visual baseline comparison,File in by_date directory
by_date,png,results/legacy_L0/by_date/task10_acc_vs_effective_rewire.png,Effective rewire analysis,R1_T01,Low,CSR-specific analysis,File in by_date directory
by_date,png,results/legacy_L0/by_date/task20_bitmask_swap_curve.png,Swap attack curve,R1_T03,Medium,Visual swap progression,File in by_date directory
